Date,State Name,DistrictName,Average Soilmoisture Level (at 15cm),Average_SoilMoisture_Volume_at_15cm,Aggregate Soilmoisture Percentage (at 15cm),Volume_Soilmoisture_percentage _at _15cm
31-01-2020,ANDHRA PRADESH,PRAKASAM,0,1816.04,0,19.71491437
31-01-2020,ANDHRA PRADESH,VIZIANAGARAM,0,805.46,0,28.0509567
31-01-2020,ANDHRA PRADESH,WEST GODAVARI,0,901.5,0,22.44372679
31-01-2020,ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,0,1452.48,0,21.14840169
31-01-2020,ANDHRA PRADESH,ANANTAPUR,0,1731.85,0,17.21834439
31-01-2020,ANDHRA PRADESH,KURNOOL,0,1805.4,0,19.47183744
31-01-2020,ANDHRA PRADESH,KRISHNA,0,892.69,0,20.1452903
31-01-2020,ANDHRA PRADESH,SRIKAKULAM,0,786.55,0,24.21610373
31-01-2020,ANDHRA PRADESH,Y.S.R.,0,1329.8,0,16.76967938
31-01-2020,ANDHRA PRADESH,CHITTOOR,0,1644.18,0,20.58725784
31-01-2020,ANDHRA PRADESH,EAST GODAVARI,0,1153.9,0,20.60633146
31-01-2020,ANDHRA PRADESH,GUNTUR,0,1122.47,0,18.94231236
31-01-2020,ANDHRA PRADESH,VISAKHAPATNAM,0,1465.39,0.01,24.88763403
30-01-2020,ANDHRA PRADESH,PRAKASAM,0,1824.26,0,19.8041702
30-01-2020,ANDHRA PRADESH,VIZIANAGARAM,0,789.94,0,27.51038548
30-01-2020,ANDHRA PRADESH,WEST GODAVARI,0,907.67,0,22.5973509
30-01-2020,ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,0,1465.51,0,21.33805378
30-01-2020,ANDHRA PRADESH,ANANTAPUR,0,1737.58,0,17.27534622
30-01-2020,ANDHRA PRADESH,KURNOOL,0,1811.73,0,19.54014164
30-01-2020,ANDHRA PRADESH,KRISHNA,0,896.21,0,20.22479363
30-01-2020,ANDHRA PRADESH,SRIKAKULAM,0,790.94,0,24.35153175
30-01-2020,ANDHRA PRADESH,Y.S.R.,0,1336.76,0,16.85748884
30-01-2020,ANDHRA PRADESH,CHITTOOR,0,1655.94,0,20.73454146
30-01-2020,ANDHRA PRADESH,EAST GODAVARI,0,1161.05,0,20.73408969
30-01-2020,ANDHRA PRADESH,GUNTUR,0,1125.92,0,19.00064659
30-01-2020,ANDHRA PRADESH,VISAKHAPATNAM,0,1420.43,0,24.12411841
29-01-2020,ANDHRA PRADESH,PRAKASAM,0,1833.33,0,19.90261359
29-01-2020,ANDHRA PRADESH,VIZIANAGARAM,0,790.23,0,27.52059356
29-01-2020,ANDHRA PRADESH,WEST GODAVARI,0,914.57,0,22.76901378
29-01-2020,ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,0,1480.52,0,21.556595
29-01-2020,ANDHRA PRADESH,ANANTAPUR,0,1743.62,0,17.33533108
29-01-2020,ANDHRA PRADESH,KURNOOL,0,1818.36,0,19.61159457
29-01-2020,ANDHRA PRADESH,KRISHNA,0,899.8,0,20.30571218
29-01-2020,ANDHRA PRADESH,SRIKAKULAM,0,782.06,0.01,24.07812815
29-01-2020,ANDHRA PRADESH,Y.S.R.,0,1344.55,0,16.95569492
29-01-2020,ANDHRA PRADESH,CHITTOOR,0,1668.86,0,20.89625547
29-01-2020,ANDHRA PRADESH,EAST GODAVARI,0,1170.12,0,20.89601663
29-01-2020,ANDHRA PRADESH,GUNTUR,0,1129.92,0,19.06799967
29-01-2020,ANDHRA PRADESH,VISAKHAPATNAM,0,1432.95,0,24.3367531
28-01-2020,ANDHRA PRADESH,PRAKASAM,0,1841.54,0,19.99173935
28-01-2020,ANDHRA PRADESH,VIZIANAGARAM,0,785.41,0,27.35250964
28-01-2020,ANDHRA PRADESH,WEST GODAVARI,0,914.61,0,22.7701525
28-01-2020,ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,0,1502.49,0,21.87652682
28-01-2020,ANDHRA PRADESH,ANANTAPUR,0,1753.38,0,17.43240599
28-01-2020,ANDHRA PRADESH,KURNOOL,0,1826.66,0,19.70114791
28-01-2020,ANDHRA PRADESH,KRISHNA,0,907.23,0,20.47344275
28-01-2020,ANDHRA PRADESH,SRIKAKULAM,0,775.95,0,23.8898446
28-01-2020,ANDHRA PRADESH,Y.S.R.,0,1356.95,0,17.11213659
28-01-2020,ANDHRA PRADESH,CHITTOOR,0,1680.03,0,21.03612151
28-01-2020,ANDHRA PRADESH,EAST GODAVARI,0,1156.23,0,20.64790691
28-01-2020,ANDHRA PRADESH,GUNTUR,0,1140,0,19.23810731
28-01-2020,ANDHRA PRADESH,VISAKHAPATNAM,0,1404.84,0,23.85934142
27-01-2020,ANDHRA PRADESH,PRAKASAM,0,1850.67,0,20.09083389
27-01-2020,ANDHRA PRADESH,VIZIANAGARAM,0,791.34,0,27.55896369
27-01-2020,ANDHRA PRADESH,WEST GODAVARI,0,917.71,0,22.84722796
27-01-2020,ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,0,1510.35,0,21.99096353
27-01-2020,ANDHRA PRADESH,ANANTAPUR,0,1754.9,0,17.44751594
27-01-2020,ANDHRA PRADESH,KURNOOL,0,1831.05,0,19.74843718
27-01-2020,ANDHRA PRADESH,KRISHNA,0,906.08,0,20.44750683
27-01-2020,ANDHRA PRADESH,SRIKAKULAM,0,781.85,0.01,24.07140069
27-01-2020,ANDHRA PRADESH,Y.S.R.,0,1359.19,0,17.14038593
27-01-2020,ANDHRA PRADESH,CHITTOOR,0,1691.35,0,21.1779713
27-01-2020,ANDHRA PRADESH,EAST GODAVARI,0,1164.46,0,20.79484239
27-01-2020,ANDHRA PRADESH,GUNTUR,0,1137.16,0,19.19027374
27-01-2020,ANDHRA PRADESH,VISAKHAPATNAM,0,1416.94,0,24.06471495
26-01-2020,ANDHRA PRADESH,PRAKASAM,0,1861.31,0,20.20639282
26-01-2020,ANDHRA PRADESH,VIZIANAGARAM,0,797.04,0,27.75744587
26-01-2020,ANDHRA PRADESH,WEST GODAVARI,0,925.07,0,23.03043202
26-01-2020,ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,0,1527.75,0,22.24429704
26-01-2020,ANDHRA PRADESH,ANANTAPUR,0,1762.35,0,17.52154805
26-01-2020,ANDHRA PRADESH,KURNOOL,0,1838.92,0,19.8333919
26-01-2020,ANDHRA PRADESH,KRISHNA,0,910.3,0,20.54267953
26-01-2020,ANDHRA PRADESH,SRIKAKULAM,0,787.72,0.01,24.25241861
26-01-2020,ANDHRA PRADESH,Y.S.R.,0,1368.22,0,17.25428341
26-01-2020,ANDHRA PRADESH,CHITTOOR,0,1705.53,0,21.35548291
26-01-2020,ANDHRA PRADESH,EAST GODAVARI,0,1174.25,0,20.96982158
26-01-2020,ANDHRA PRADESH,GUNTUR,0,1141.55,0,19.26427288
26-01-2020,ANDHRA PRADESH,VISAKHAPATNAM,0,1431.14,0,24.30595286
25-01-2020,ANDHRA PRADESH,PRAKASAM,0,1870.71,0,20.308435
25-01-2020,ANDHRA PRADESH,VIZIANAGARAM,0,810.08,0,28.21180744
25-01-2020,ANDHRA PRADESH,WEST GODAVARI,0,931.1,0,23.18053764
25-01-2020,ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,0,1543.68,0,22.47626771
25-01-2020,ANDHRA PRADESH,ANANTAPUR,0,1768.29,0,17.58058761
25-01-2020,ANDHRA PRADESH,KURNOOL,0,1845.55,0,19.90488571
25-01-2020,ANDHRA PRADESH,KRISHNA,0,914.07,0,20.62781271
25-01-2020,ANDHRA PRADESH,SRIKAKULAM,0,795.51,0.02,24.49214405
25-01-2020,ANDHRA PRADESH,Y.S.R.,0,1375.41,0,17.34486964
25-01-2020,ANDHRA PRADESH,CHITTOOR,0,1715.9,0,21.48530019
25-01-2020,ANDHRA PRADESH,EAST GODAVARI,0,1184.12,0,21.14609115
25-01-2020,ANDHRA PRADESH,GUNTUR,0,1145.46,0,19.33039681
25-01-2020,ANDHRA PRADESH,VISAKHAPATNAM,0,1453.79,0,24.69064048
